Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue,Cell_type,Individual,AssemblyName,intentional_duplicate (run),subject_status
SRR11816791,RNA-Seq,210,70739113620,PRJNA587486,SAMN14979745,28194375165,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8367768,GSM4560814,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-22T19:49:00Z,1,GSM4560814,Germinal Center B cells,SRP228546,Tonsil,Germinal Center B cells,,,,
SRR11816792,RNA-Seq,210,81327979950,PRJNA587486,SAMN14979762,32175780929,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8367769,GSM4560815,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-22T00:44:00Z,1,GSM4560815,Germinal Center B cells,SRP228546,Tonsil,Germinal Center B cells,,,,
SRR11816793,RNA-Seq,210,1313943330,PRJNA587486,SAMN14979760,575284376,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8367770,GSM4560816,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-20T11:24:00Z,1,GSM4560816,Germinal Center B cells,SRP228546,Tonsil,Germinal Center B cells,,,,
SRR11816794,RNA-Seq,210,1677975390,PRJNA587486,SAMN14979758,730166676,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8367771,GSM4560817,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-20T11:33:00Z,1,GSM4560817,Germinal Center B cells,SRP228546,Tonsil,Germinal Center B cells,,,,
SRR11827034,RNA-Seq,132,53952397620,PRJNA587486,SAMN13191513,26337836669,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7099009,GSM4148370,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-24T13:46:00Z,1,GSM4148370,Germinal Center B cells,SRP228546,Tonsil,,,,,
SRR11827035,RNA-Seq,125,42467490875,PRJNA587486,SAMN13191512,14606350455,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7099010,GSM4148371,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-24T10:41:00Z,1,GSM4148371,Germinal Center B cells,SRP228546,Tonsil,,,,,
SRR11827036,RNA-Seq,132,47343970080,PRJNA587486,SAMN13191511,23127229234,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7099011,GSM4148372,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-24T21:35:00Z,1,GSM4148372,Dark zone germinal center B cells,SRP228546,Tonsil,,,,,
SRR11827037,RNA-Seq,125,47387983625,PRJNA587486,SAMN13191510,16037590661,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7099012,GSM4148373,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-24T15:43:00Z,1,GSM4148373,Dark zone germinal center B cells,SRP228546,Tonsil,,,,,
SRR11827038,RNA-Seq,132,49324839696,PRJNA587486,SAMN13191508,24172566686,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7099013,GSM4148374,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-24T15:24:00Z,1,GSM4148374,Light zone germinal center B cells,SRP228546,Tonsil,,,,,
SRR11827039,RNA-Seq,125,45314258750,PRJNA587486,SAMN13191507,15383167869,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7099014,GSM4148375,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-20T00:00:00Z,2020-05-24T14:43:00Z,1,GSM4148375,Light zone germinal center B cells,SRP228546,Tonsil,,,,,
SRR13592261,RNA-Seq,147,77121630006,PRJNA698360,SAMN17715037,15141884297,GEO,public,"run.zq,TenX,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9986854,GSM5051493,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-16T00:00:00Z,2021-01-31T17:25:00Z,1,GSM5051493,Tonsil_scRNA-seq,SRP304007,tonsil,,,GCA_000001405.16,,children and adults undergoing routine tonsillectomy
